# 2026-07 Monthly Brief screening ledger
# count=365 | main=3bb929004ff8b547b86e5f1beab0efb3dac19d62 | blob=beb2aa7615b583b4c9c0c269974601a0b26c2684

001 | top  | 2026-07-31 | GL | 2026-07-31_GL_02 | 인도, 5,000MW 수상태양광·최소 2시간 ESS PM-Surya Sarovar 승인 | FACT: 인도 연방 내각은 PM-Surya Sarovar Yojana를 승인했다. 제도는 5,000MW 수상태양광과 최소 2시간 에너지저장장치를 결합하는 구조를 지원한다. | GATE: 이번 사건은 제도 승인 단계이며 개별 프로젝트 선정·착공을 의미하지 않는다. 후속 판단 지점은 세부 사업 선정과 실제 집행 속도다.
045 | top  | 2026-07-14 | GL | 2026-07-14_GL_03 | 1~5월 EV 전해액 +19.3%·분리막 +20.7%…중국 제외 증가율 더 높아 | FACT: SNE리서치는 2026년 1~5월 글로벌 EV·PHEV·HEV용 전해액 적재량을 약 59만1,000톤으로 집계해 전년 동기보다 19.3% 증가했다고 밝혔다. 중국 제외 시장은 약 22만2,000톤으로 32.2% 늘었다. 같은 기간 분리막 적재량은 약 74억8,900만 제곱미터로 20.7%, 중국 제외 시장은 약 26억50 | GATE: 적재량은 전 세계 등록 EV·PHEV·HEV에 탑재된 소재량으로, 소재업체의 매출·출하량과 동일하지 않다. 전해액과 분리막은 단위와 공급구조가 다르므로 증가율만으로 업체별 수혜를 단정하기 어렵다.
046 | top  | 2026-07-14 | GL | 2026-07-14_GL_02 | 알코아, 서호주 갈륨 연 100톤 프로젝트 FID…글로벌 수요 약 10% 목표 | FACT: 알코아와 호주·일본·미국 파트너는 2026년 7월 14일 서호주 웨이거럽 알루미나 정유소 내 갈륨 생산공장의 최종투자결정을 발표했다. 알코아가 공장을 건설·운영하며 최종 부지준비와 규제승인 후 착공할 예정이다. 호주 정부는 예상 생산능력을 연 100톤, 글로벌 갈륨 수요의 약 10%로 제시했고 호주 금융은 수출금융공사(E | GATE: FID는 투자·건설 의사결정이지만 즉시 생산량을 늘리는 단계는 아니다. 연 100톤과 글로벌 수요 약 10%는 예상 명목능력으로, 실제 공급효과는 건설·회수율·가동시점과 구매계약에 달려 있다.
047 | top  | 2026-07-14 | GL | 2026-07-14_GL_01 | 우드맥켄지 BESS 종합순위…선그로우 1위·테슬라 2위·CATL 3위 | FACT: 우드맥켄지는 2026년 7월 14일 첫 글로벌 BESS 통합업체 종합순위를 발표했다. 선그로우가 1위, 테슬라가 2위, CATL이 3위였고 비야디 4위, 엔비전과 트리나스토리지가 공동 5위였다. 평가는 기술성숙도, 연구개발, 안전, 수직통합, 공급망 회복력, ESG와 재무건전성 등 10개 기준을 사용했으며 2025년 글로 | GATE: 이 순위는 AC 통합형 BESS 공급사의 종합평가이며 출하량이나 시장점유율 순위와 동일하지 않다. 평가기준과 가중치의 공개범위가 제한돼 개별 기업의 절대성능을 확정하는 자료로 사용하기는 어렵다.
048 | top  | 2026-07-13 | US | 2026-07-13_US_02 | 라자드, 미국 4시간 BESS LCOS 상승…관세·FEOC가 저가셀 접근 제한 | FACT: 라자드는 2026년 7월 13일 LCOE+ 보고서에서 독립형 저장장치 비용이 다시 상승했다고 밝혔다. 공식 발표는 리튬이온 배터리 수입관세가 현실화돼 저가 중국산 셀 접근이 제한됐고 FEOC 규제가 중국 밖 공급망 다변화를 가속했다고 설명했다. 전문매체가 인용한 100MW/400MWh 비ITC LCOS는 2026년 210 | GATE: LCOS는 설비비·금융·운영·사이클 가정을 합친 모델값으로 모든 프로젝트의 실현비용과 같지 않다. 관세와 FEOC의 영향도 셀 원산지, 조달시점, 세액공제 적격성과 계약구조에 따라 달라진다.
049 | top  | 2026-07-13 | GL | 2026-07-13_GL_02 | 마스다르 5.2GW·19GWh 프로젝트 금융종결…51억달러 조달 | FACT: 마스다르는 2026년 7월 13일 아부다비 5.2GW 태양광·19GWh BESS 프로젝트의 금융종결을 발표했다. 13개 국제·현지 은행이 51억달러를 제공하고 마스다르가 10억달러 지분을 투입해 총 투자액은 61억달러다. 프로젝트는 1GW의 연속 청정전력 공급을 목표로 한다. | GATE: 금융종결은 프로젝트의 금융조달 가능성을 높이지만 건설완료·시운전·24시간 출력달성을 보장하지 않는다. 19GWh도 설계규모이므로 공급사별 실제 발주·납품일정과 구분해야 한다.
050 | top  | 2026-07-10 | KR | 2026-07-10_KR_01 | 기후부, 5586억원 배전망 ESS 착수…1차 128MW·640MWh | FACT: 기후에너지환경부는 2026~2030년 국비 5586억원 규모의 배전망 ESS 사업 중 1차 사업자 9곳을 선정해 업무협약을 체결했다. 9개 사업자는 32개 선로에 128MW·640MWh ESS를 설치해 접속대기 태양광 182.4MW를 추가 연결하고 향후 20년간 분산자원을 집합·최적운영한다. 1차는 삼원계·LFP 중심이며 | GATE: 1차는 삼원계·LFP 중심이며 8월 차기 공모부터 장주기·장수명·화재안전성 차세대 배터리의 시장진입을 유도한다. 설치완료·태양광 추가접속과 20년 AI 최적화 운영성과가 국비 5586억원 투자의 핵심 집행지표다.
051 | top  | 2026-07-09 | US | 2026-07-09_US_02 | Avantus Aratina 2, 150MW 태양광·452MWh 저장에 5억2,500만달러 이상 조달 | FACT: Avantus는 Aratina 2에 5억2,500만달러 이상의 금융을 확보했다. 프로젝트는 태양광 150MW와 에너지저장 452MWh로 구성된다. | GATE: 금융확보는 프로젝트의 건설재원을 구체화한 단계다. 그러나 실제 자금집행, 주요 설비인도와 공정완료를 의미하지는 않는다.
052 | top  | 2026-07-07 | US | 2026-07-07_US_02 | Ultium Spring Hill, 7천만달러 전환 거쳐 JF2 LFP ESS 셀 양산 | FACT: Ultium Cells는 7월 7일 테네시 Spring Hill 공장에서 LG에너지솔루션 JF2 LFP ESS 셀 생산을 시작했다. 3월 발표한 7,000만달러 공정 전환투자 이후 기존 생산능력 일부를 5개월 이내에 LFP 공정으로 바꿨으며, 생산 셀은 LG에너지솔루션 Vertech가 미국에서 조립하는 저장시스템에 사용된 | GATE: 공식 발표는 JF2 LFP 생산 개시와 일부 공정 전환을 확인하지만 공장 전체의 ESS 전용화, 연간 생산능력·가동률과 개별 부품 공급사를 확정하지 않는다. Warren 인력복귀와 오하이오 생산은 별도 사건으로 관리해야 한다.
053 | top  | 2026-07-07 | CN | 2026-07-07_CN_01 | Gotion·Sany, 2027년 배터리 최소 10GWh 구매약정 | FACT: Gotion과 Sany는 2026년 7월 7일 전략협력계약을 체결했다. Sany는 2027년 Gotion에서 구매할 배터리 물량을 최소 10GWh로 약정했다. | GATE: 전략협력계약과 연간 최소구매 약정은 확인됐다. 차종별 발주, 납품일정, 매출인식은 후속 주문과 공급계약에서 확정된다.
054 | top  | 2026-07-06 | CN | 2026-07-06_CN_04 | 중국 상반기 저장시스템 입찰 148.1GWh·낙찰 96.1GWh | FACT: CNESA 집계에 따르면 2026년 상반기 중국 저장시스템 공개 입찰규모는 24.5GW/148.1GWh, 낙찰규모는 15GW/96.1GWh였다. 수치는 공고·낙찰 기준이며 실제 설치·상업운전 물량과는 구분된다. | GATE: 148.1GWh와 96.1GWh는 CNESA가 추적한 공고·낙찰 집계치다. 프레임계약과 프로젝트별 조달이 혼재할 수 있어 실제 설치량으로 직접 환산할 수 없다.
055 | top  | 2026-07-05 | GL | 2026-07-05_GL_01 | EVNHANOI, 하노이 5개 변전소 BESS 50MW·100MWh 가동 | FACT: EVNHANOI는 하노이 5개 110kV 변전소에 각각 10MW·20MWh BESS를 설치했고, 마지막 Bac Thang Long 설비가 7월 5일 통전되며 총 50MW·100MWh가 가동단계에 들어갔다. 이는 하노이에 배정된 총 275MW 저장계획 중 첫 50MW 포트폴리오다. | GATE: 설치·통전은 확인됐지만 수익성이나 계통성과를 뜻하지 않는다. 배전망 피크저감, 고장대응, 충방전 효율과 운영비 데이터가 공개돼야 275MW 확대의 경제성을 평가할 수 있다.
056 | top  | 2026-07-03 | GL | 2026-07-03_GL_08 | Lobito 철도, DRC 구간 재건에 7억5300만달러 금융종결 | FACT: AFC는 2026년 7월 3일 Lobito Corridor 철도 프로젝트의 7억5300만달러 금융종결을 발표했다. 자금은 DRC 구간 철도 재건에 투입될 예정이다. | GATE: 금융종결은 공사완료나 수송능력 증가를 뜻하지 않는다. 자금집행, 공정률, 광산별 장기운송계약이 공급망 효과의 실행조건이다.
057 | top  | 2026-07-03 | GL | 2026-07-03_GL_07 | 아르헨티나 알마사디 700MW BESS 낙찰 확정 | FACT: 아르헨티나 에너지사무국은 2026년 7월 3일 결의 155/2026으로 알마사디 저장조달의 낙찰을 결정했고 관보는 7월 7일 이를 공표했다. 공식 문서는 목표용량을 700MW로 정하고 2026년 5월 27일 235개 제안, 총 8.338GW가 제출됐다고 기록한다. 낙찰사업자는 CAMMESA와 전력·운영예비력·단기예비력 제 | GATE: 결의 155/2026은 낙찰대상을 확정하지만 개별 계약체결·금융종결·COD와는 구분된다. 공급효과는 부속서의 사업자·노드·가격과 CAMMESA 계약진척에서 확인해야 한다.
058 | top  | 2026-07-03 | CN | 2026-07-03_CN_04 | 중국철탑, 나트륨전지 열안전 연구·시제품 시험 조달 착수 | FACT: 중국철탑은 2026년 7월 3일 나트륨전지 열안전 메커니즘과 적용기술 연구를 3개 표단으로 발주했다. 범위는 셀 열실패 연구, 모듈 안전관리 시제품과 시험서비스이며 최대응찰한도 합계는 280만위안이다. 7월 1일에는 고안전·광온역 나트륨 배터리 시제품 시험의 후보공급사를 공시했고, 5월에는 티베트 기지국용 100Ah 나트 | GATE: 이번 공고는 연구·시제품·시험 조달이며 상업적 대규모 배치완료를 뜻하지 않는다. 별도 티베트 1,100조 제품입찰은 기지국 백업전원 수요를 보여주지만 연구결과와 시제품 검증이 표준제품으로 전환돼야 한다.
059 | top  | 2026-07-02 | KR | 2026-07-02_KR_06 | 수출입은행, 대한전선 해저케이블 포설선 인수에 1,000억원 금융지원 | FACT: 대한전선은 해저케이블 전용 포설선 ‘스칸디 커넥터’ 인수를 위해 한국수출입은행으로부터 1,000억원 규모 금융지원을 받는다고 2026년 7월 2일 밝혔다. 이는 2026년 3월 당진 해저케이블 2공장 건설에 대한 4,500억원 금융지원에 이은 추가 지원이다. 이번 지원은 2026년 3월 당진 해저케이블 2공장에 대한 4, | GATE: 정책금융이 공장 건설뿐 아니라 해저케이블 운송·포설을 수행하는 핵심 시공자산 확보까지 연결된 사례다. 선박 인수종결, 가동률, 수주잔고와 대출조건이 리스크 판단의 핵심이다.
060 | top  | 2026-07-02 | KR | 2026-07-02_KR_02 | LS일렉트릭, 천안 100% 직류배전 DC팩토리 준공·가동 | FACT: LS일렉트릭은 2026년 7월 2일 충남 천안사업장에서 DC팩토리 준공식을 열고 100% 직류배전 제조시설의 가동을 시작했다고 밝혔다. 공장에는 반도체 변압기(SST), 반도체 차단기(SSCB), 에너지저장장치(ESS) 등 직류 전용 핵심기기가 적용됐다. 회사는 직류 전환손실을 줄여 공장 에너지효율이 10% 이상 개선됐다 | GATE: 자체 공장을 직류배전 실증·레퍼런스 사이트로 활용해 데이터센터와 북미 산업시장 수주로 연결하려는 구조다. 에너지효율 개선의 측정기준과 장기간 운영 안정성, 외부 고객 적용 실적이 핵심 검증항목이다. 10% 이상 효율개선은 회사 실증값이므로 장기간 운영데이터와 외부 검증
061 | top  | 2026-07-02 | GL | 2026-07-02_GL_09 | VHM, Iluka와 Goschen 희토류 100% 오프테이크·A$4000만 금융계약 | FACT: VHM은 Iluka Resources와 Goschen 프로젝트의 현 채굴허가기간 20년에 걸쳐 희토류 정광 생산량 100%를 공급하는 구속력 있는 오프테이크 계약을 체결했다. Mining Weekly는 예정 공급물량을 18년간 정광 14만6000톤, 희토류산화물 8만6000톤으로 제시했다. Iluka는 A$1000만을 먼 | GATE: 장기 판매계약과 프로젝트 금융이 결합돼 Goschen의 판매·자금조달 경로가 동시에 구체화됐다. 두 번째 A$3000만 집행과 공급개시는 최종투자결정·건설진행 조건에 달려 있다.
062 | top  | 2026-07-02 | CN | 2026-07-02_CN_01 | 중국 전기화학저장 보고서: 2025년 109.29GW·276.22GWh 운영 | FACT: 중국전력기업연합회 전동교통·저장 분회 등은 2026년 7월 2일 ‘전기화학 저장산업 발전보고서 2026’을 공개했다. 보고서는 2025년 말 누적 운영 전기화학 저장소 1,998곳, 109.29GW·276.22GWh를 집계했으며 독립형 저장의 연평균 이용시간을 1,246시간으로 제시했다. 보고서는 평균 저장시간을 2.53 | GATE: 협회 통계는 시장규모와 운영모델을 보여주지만 국가에너지국의 ‘신형저장’ 통계와 범위·정의가 다를 수 있다. 설비범위와 중복집계를 확인해야 한다. 설치용량 성장만으로 시장건전성을 판단하기 어렵고 이용시간·수익모델·비계획 정지율·통합품질을 함께 봐야 한다.
063 | top  | 2026-07-01 | US | 2026-07-01_US_03 | Centrus·미 에너지부, 최대 10.7억달러 HALEU 상업생산 계약 확정 | FACT: Centrus Energy는 미국 에너지부와 약 9억달러 규모 HALEU 작업주문 조건을 최종 확정했다고 2026년 7월 1일 발표했다. 에너지부는 최대 1.7억달러 추가 구매옵션을 보유해 전체 잠재 계약가치는 약 10.7억달러다. | GATE: 계약은 시범생산에서 상업규모 농축능력 구축으로 이동하는 정책조달이다. 옵션을 포함한 최대값과 확정 기본금액을 구분하고 시설확장·허가·예산집행을 확인해야 한다.
064 | top  | 2026-07-01 | US | 2026-07-01_US_02 | KKR, EDF 북미 재생에너지 사업·자산 42억달러 인수 합의 | FACT: KKR은 EDF Group으로부터 EDF Power Solutions의 북미 운영사업과 자산을 약 42억달러 규모로 인수하기로 합의했다고 2026년 7월 1일 발표했다. 대상 사업은 미국 내 재생에너지 운영자산과 개발·서비스 역량을 포함한다. 거래에는 최대 3억9,000만달러의 조건부 추가지급 가능성이 있으며, EDF 북 | GATE: 인수합의는 규제승인과 거래종결 전 단계다. 포함자산의 운영용량·개발파이프라인, 부채와 장기계약 구조가 실제 인수가치와 수익성을 좌우한다. 42억달러는 기본 지분가치이고 추가지급은 조건부이므로 종결조건·조정대가·실제 이전자산과 개발파이프라인의 범위를 구분해야 한다.
065 | top  | 2026-07-01 | KR | 2026-07-01_KR_05 | 알몬티, 상동 텅스텐광산 가공개시…비축원광으로 판매가능 정광 생산 전환 | FACT: 알몬티는 2026년 6월 상동광산 신규 가공시설에 비축원광을 투입해 판매 가능한 텅스텐 정광 생산을 시작했다고 발표했다. 시운전 전 비축량은 약 13만9,700톤, 혼합 WO₃ 품위는 약 0.25%이며 회사는 1단계 처리기준 약 2.6개월분으로 설명했다. 현 가격과 함유량을 적용한 회사의 예시적 총 공정가치는 약 6,80 | GATE: 판매가능 정광 생산개시는 안정적 상업생산·매출인식 또는 현금회수를 의미하지 않는다. 6,800만달러는 회수율·처리비·정광가격·지급률을 차감하지 않은 회사의 예시적 함유가치로 매출·이익이 아니다. 실제 처리량, 회수율·정광품위, 고객인수와 첫 판매·대금수취를 확인해야 한
066 | top  | 2026-07-01 | KR | 2026-07-01_KR_04 | SK·KKR, 약 2조원 재생에너지 통합플랫폼 출범 위한 본계약 | FACT: SK와 KKR은 2026년 7월 1일 약 2조원 규모 재생에너지 플랫폼 출범을 위한 본계약을 체결했다. 플랫폼은 SK 관계사의 태양광, 육상·해상풍력, 연료전지 자산을 통합하며 출범 시 약 1.7GW 운영용량을 확보하고 개발 파이프라인 완료 시 총 10GW 규모로 확대할 계획이다. 예정 통합법인의 지분구조는 KKR 51% | GATE: 플랫폼 출범과 자산 편입은 본계약 이후 거래종결과 인허가를 거쳐야 한다. KKR의 초기 경영권, SK의 지분참여와 자산가치·부채·개발 파이프라인의 실제 편입 범위가 핵심이다. 연말 법인 출범, 자산이전 종결, KKR 초기 경영권과 SK의 장래 경영권 협상조건을 각각 확
067 | top  | 2026-07-01 | KR | 2026-07-01_KR_03 | 효성중공업, 호주 AusNet과 3,100억원·5년 초고압 전력기기 공급계약 | FACT: 효성중공업은 호주 빅토리아주 송전망 운영사 AusNet과 초고압변압기·리액터 등 전력기기 장기공급계약을 체결했다고 2026년 7월 1일 밝혔다. 예상 총 수주액은 약 3,100억원이며 계약기간은 5년이다. 계약은 빅토리아주 송전망에 대한 5년 독점공급 성격이며, 회사는 빅토리아·퀸즐랜드·뉴사우스웨일스·남호주로 현지 공급망 | GATE: 단발성 프로젝트가 아니라 송전망 운영사와 장기 공급지위를 확보한 계약이다. 실제 발주물량, 납품일정과 원가·환율에 따른 매출·수익성 인식이 핵심이다. 총액은 장기 프레임 기준이므로 연도별 발주·납품물량과 HVDC·STATCOM 후속협력의 실제 계약 전환을 구분해야 한다
